dataset,data_seed,split_seed,rows,features,classes,class_counts,true_edges,metadata
S02,1249,1249,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1-2;3-4-5;6-7-8,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S02"", ""kind"": ""triple"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S02,1277,1277,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1-2;3-4-5;6-7-8,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S02"", ""kind"": ""triple"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1103,1103,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1129,1129,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1151,1151,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1171,1171,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1181,1181,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1201,1201,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1213,1213,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1231,1231,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1249,1249,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S03,1277,1277,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S03"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1103,1103,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1129,1129,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1151,1151,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1171,1171,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1181,1181,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1201,1201,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1213,1213,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1231,1231,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1249,1249,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S04,1277,1277,900,16,2,"{""0"": 450, ""1"": 450}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S04"", ""kind"": ""mixed"", ""n"": 900, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1103,1103,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1129,1129,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1151,1151,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1171,1171,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1181,1181,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1201,1201,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1213,1213,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1231,1231,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1249,1249,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S05,1277,1277,6000,16,2,"{""0"": 3000, ""1"": 3000}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S05"", ""kind"": ""mixed"", ""n"": 6000, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1103,1103,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1129,1129,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1151,1151,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1171,1171,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1181,1181,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1201,1201,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1213,1213,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1231,1231,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1249,1249,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S06,1277,1277,2800,32,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 32, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S06"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S07,1103,1103,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1129,1129,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1151,1151,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1171,1171,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1181,1181,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1201,1201,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1213,1213,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1231,1231,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1249,1249,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S07,1277,1277,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""violated"", ""id"": ""S07"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 1.1, ""rho"": 0.0, ""signal_scale"": 0.55, ""threshold_quantile"": 0.5}"
S08,1103,1103,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S08,1129,1129,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5-6;7-8-9,"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""violated"", ""id"": ""S08"", ""kind"": ""mixed"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.6, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
