dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling
S01,S01,1129,1129,SC-L1,16,680,3,0.006087199988542125,0.0005244000058155507,289914880,0.8910714285714286,0.8910544058223383,0.23228607248422933,0.9669132653061224,1.0,1.0,1.0,0,0.0,,,14.666439499997068,,4.0,0.9,80,0,3.0,3.0,0.2170452832303826,0.016894197760742306,0.2339394809911249
S01,S01,1129,1129,SC-SHIL,16,680,3,0.006795699999202043,0.0003127999952994287,256176128,0.8910714285714286,0.8910544058223383,0.23228607248422933,0.9669132653061224,1.0,1.0,1.0,0,0.0,,,17.492170600016834,,4.0,0.9,80,0,3.0,3.0,0.2170452832303826,0.016894197760742306,0.2339394809911249
S01,S01,1151,1151,L1-full,16,680,304,0.02957579999929294,0.004849899996770546,237780992,0.8625,0.8624012764260072,0.4312470568043893,0.9425510204081633,0.009868421052631578,1.0,0.019543973941368076,301,0.9901315789473685,,,0.5963662999856751,0.25,,,5,0,,,,,
S01,S01,1151,1151,L1-top8,16,680,8,0.004907800001092255,0.0006266999989748001,238006272,0.9017857142857143,0.901715197447148,0.2058873292700153,0.9752551020408164,0.375,1.0,0.5454545454545454,5,0.625,,,0.5963662999856751,0.25,8.0,,5,0,,,,,
S01,S01,1151,1151,L1-match,16,680,3,0.0035419000196270645,0.0004430999979376793,238014464,0.9,0.8999183006535948,0.2028318169696568,0.9761352040816327,1.0,1.0,1.0,0,0.0,,,0.5963662999856751,0.25,3.0,,5,0,,,,,
S01,S01,1151,1151,SHIL-k8,16,680,8,0.00452479999512434,0.00044159998651593924,238014464,0.9,0.8999374609130707,0.20496067224169157,0.975127551020408,0.375,1.0,0.5454545454545454,5,0.625,,,0.45987500000046566,,8.0,,1,0,,,,,
S01,S01,1151,1151,SC-L1,16,680,3,0.005229500005953014,0.0003087999939452857,292831232,0.9,0.8999183006535948,0.2028318169696568,0.9761352040816327,1.0,1.0,1.0,0,0.0,,,15.739125799998874,,4.0,0.9,80,0,3.0,3.0,0.19060021614454895,0.015502395681525715,0.20610261182607467
S01,S01,1151,1151,SC-SHIL,16,680,3,0.005037700000684708,0.0002598999999463558,259031040,0.9,0.8999183006535948,0.2028318169696568,0.9761352040816327,1.0,1.0,1.0,0,0.0,,,18.447470300015993,,4.0,0.9,80,0,3.0,3.0,0.19060021614454895,0.015502395681525715,0.20610261182607467
S01,S01,1171,1171,L1-full,16,680,28,0.004285900009563193,0.0004094999749213457,240160768,0.8767857142857143,0.8767821780599571,0.2932828093632953,0.949795918367347,0.10714285714285714,1.0,0.19354838709677416,25,0.8928571428571429,,,0.37644980000914074,0.05,,,5,0,,,,,
S01,S01,1171,1171,L1-top8,16,680,8,0.0033543999888934195,0.0002652000111993402,240164864,0.8785714285714286,0.8785714285714286,0.2689139323947689,0.9558928571428571,0.375,1.0,0.5454545454545454,5,0.625,,,0.37644980000914074,0.05,8.0,,5,0,,,,,
S01,S01,1171,1171,L1-match,16,680,3,0.003040000010514632,0.0002103000006172806,240173056,0.875,0.874998405591908,0.2527016766568195,0.9602168367346938,1.0,1.0,1.0,0,0.0,,,0.37644980000914074,0.05,3.0,,5,0,,,,,
S01,S01,1171,1171,SHIL-k8,16,680,8,0.004791200015461072,0.0002652999828569591,240173056,0.8732142857142857,0.8732041776289563,0.25787044208577986,0.9588010204081634,0.375,1.0,0.5454545454545454,5,0.625,,,0.3567306000040844,,8.0,,1,0,,,,,
S01,S01,1171,1171,SC-L1,16,680,3,0.0050543000106699765,0.0005201000021770597,295235584,0.875,0.874998405591908,0.2527016766568195,0.9602168367346938,1.0,1.0,1.0,0,0.0,,,14.623469600017415,,4.0,0.9,80,0,3.0,3.0,0.2083490127071191,0.017617046951170657,0.22596605965828978
S01,S01,1171,1171,SC-SHIL,16,680,3,0.0034371000074315816,0.0002736999886110425,261451776,0.875,0.874998405591908,0.2527016766568195,0.9602168367346938,1.0,1.0,1.0,0,0.0,,,21.291316900023958,,4.0,0.9,80,0,3.0,3.0,0.2083490127071191,0.017617046951170657,0.22596605965828978
S01,S01,1181,1181,L1-full,16,680,38,0.004887399991275743,0.0007576000061817467,242315264,0.8803571428571428,0.880353709130683,0.2588314720388293,0.9603571428571429,0.07894736842105263,1.0,0.14634146341463414,35,0.9210526315789473,,,0.8711873000138439,0.05,,,5,0,,,,,
S01,S01,1181,1181,L1-top8,16,680,8,0.003923500014934689,0.0002893999917432666,242331648,0.8839285714285714,0.8839252402014088,0.23724953776574345,0.9653188775510204,0.375,1.0,0.5454545454545454,5,0.625,,,0.8711873000138439,0.05,8.0,,5,0,,,,,
S01,S01,1181,1181,L1-match,16,680,3,0.003793899988522753,0.0002324000233784318,242335744,0.9017857142857143,0.9017854011014066,0.22003837505221469,0.9701147959183672,1.0,1.0,1.0,0,0.0,,,0.8711873000138439,0.05,3.0,,5,0,,,,,
S01,S01,1181,1181,SHIL-k8,16,680,8,0.004208400001516566,0.00027299998328089714,242339840,0.8982142857142857,0.8982113644843124,0.22708127639329412,0.9683545918367346,0.375,1.0,0.5454545454545454,5,0.625,,,0.44905530000687577,,8.0,,1,0,,,,,
S01,S01,1181,1181,SC-L1,16,680,3,0.003165900008752942,0.00028849998489022255,297361408,0.9017857142857143,0.9017854011014066,0.22003837505221469,0.9701147959183672,1.0,1.0,1.0,0,0.0,,,15.114083599997684,,4.0,0.9,80,0,3.0,3.0,0.19389601663030548,0.016290253799466983,0.21018627042977245
S01,S01,1181,1181,SC-SHIL,16,680,3,0.0036408999876584858,0.00022449999232776463,263557120,0.9017857142857143,0.9017854011014066,0.22003837505221469,0.9701147959183672,1.0,1.0,1.0,0,0.0,,,18.81527570000617,,4.0,0.9,80,0,3.0,3.0,0.19389601663030548,0.016290253799466983,0.21018627042977245
S01,S01,1201,1201,L1-full,16,680,44,0.0064944000041577965,0.0006982999911997467,244477952,0.8964285714285715,0.896407430087773,0.2612624373410967,0.9593494897959183,0.06818181818181818,1.0,0.1276595744680851,41,0.9318181818181818,,,0.4403947999817319,0.05,,,5,0,,,,,
S01,S01,1201,1201,L1-top8,16,680,8,0.004098400007933378,0.0009479000000283122,244494336,0.8910714285714286,0.8910126949791182,0.23315684494283673,0.9664030612244898,0.375,1.0,0.5454545454545454,5,0.625,,,0.4403947999817319,0.05,8.0,,5,0,,,,,
S01,S01,1201,1201,L1-match,16,680,3,0.006500199990114197,0.00042779999785125256,244510720,0.9053571428571429,0.9052891902672517,0.21623118393685012,0.9716198979591837,1.0,1.0,1.0,0,0.0,,,0.4403947999817319,0.05,3.0,,5,0,,,,,
S01,S01,1201,1201,SHIL-k8,16,680,8,0.004683999984990805,0.0004096000047866255,244510720,0.9035714285714286,0.9035111230233182,0.2184272344677702,0.9704974489795918,0.375,1.0,0.5454545454545454,5,0.625,,,0.4466592999815475,,8.0,,1,0,,,,,
S01,S01,1201,1201,SC-L1,16,680,3,0.004922700027236715,0.0003878000134136528,299528192,0.9053571428571429,0.9052891902672517,0.21623118393685012,0.9716198979591837,1.0,1.0,1.0,0,0.0,,,13.806434200028889,,4.0,0.9,80,0,3.0,3.0,0.24741619279209318,0.019559559114540093,0.26697575190663325
S01,S01,1201,1201,SC-SHIL,16,680,3,0.004772099986439571,0.0003372000064700842,265723904,0.9053571428571429,0.9052891902672517,0.21623118393685012,0.9716198979591837,1.0,1.0,1.0,0,0.0,,,19.73752969998168,,4.0,0.9,80,0,3.0,3.0,0.24741619279209318,0.019559559114540093,0.26697575190663325
S01,S01,1213,1213,L1-full,16,680,32,0.005118400003993884,0.000527600001078099,246648832,0.8928571428571429,0.8928516761059238,0.24481644367391756,0.9635076530612244,0.09375,1.0,0.17142857142857143,29,0.90625,,,0.7422312000126112,0.05,,,5,0,,,,,
S01,S01,1213,1213,L1-top8,16,680,8,0.0036373000184539706,0.00029230001382529736,246661120,0.9089285714285714,0.9089282810213042,0.22470354066054066,0.9689285714285715,0.375,1.0,0.5454545454545454,5,0.625,,,0.7422312000126112,0.05,8.0,,5,0,,,,,
S01,S01,1213,1213,L1-match,16,680,3,0.004693599999882281,0.00030499999411404133,246661120,0.9,0.8999987244735265,0.23205148463635292,0.9664923469387755,1.0,1.0,1.0,0,0.0,,,0.7422312000126112,0.05,3.0,,5,0,,,,,
S01,S01,1213,1213,SHIL-k8,16,680,8,0.004060500010382384,0.00034089997643604875,246669312,0.9017857142857143,0.9017854011014066,0.2381817331244778,0.9650765306122449,0.375,1.0,0.5454545454545454,5,0.625,,,0.649429599987343,,8.0,,1,0,,,,,
S01,S01,1213,1213,SC-L1,16,680,3,0.004943199979607016,0.0002659000165294856,301678592,0.9,0.8999987244735265,0.23205148463635292,0.9664923469387755,1.0,1.0,1.0,0,0.0,,,17.478618299996015,,4.0,0.9,80,0,3.0,3.0,0.19489258774981377,0.01626143119255666,0.21115401894237043
S01,S01,1213,1213,SC-SHIL,16,680,3,0.005186299997149035,0.00042529997881501913,267907072,0.9,0.8999987244735265,0.23205148463635292,0.9664923469387755,1.0,1.0,1.0,0,0.0,,,19.843752600019798,,4.0,0.9,80,0,3.0,3.0,0.19489258774981377,0.01626143119255666,0.21115401894237043
S01,S01,1231,1231,L1-full,16,680,35,0.004840899986447766,0.0005176000122446567,248803328,0.8732142857142857,0.8732041776289563,0.261072956684283,0.9595025510204082,0.08571428571428572,1.0,0.15789473684210528,32,0.9142857142857143,,,0.6093706999963615,0.05,,,5,0,,,,,
S01,S01,1231,1231,L1-top8,16,680,8,0.003959000023314729,0.00026780000189319253,248811520,0.9017857142857143,0.9017478044781309,0.21807065408892465,0.9704974489795919,0.375,1.0,0.5454545454545454,5,0.625,,,0.6093706999963615,0.05,8.0,,5,0,,,,,
S01,S01,1231,1231,L1-match,16,680,3,0.0032745000207796693,0.0002819000219460577,248819712,0.8982142857142857,0.8982061707725425,0.21192179200760183,0.9724489795918367,1.0,1.0,1.0,0,0.0,,,0.6093706999963615,0.05,3.0,,5,0,,,,,
S01,S01,1231,1231,SHIL-k8,16,680,8,0.002925600012531504,0.00023570001940242946,248823808,0.9,0.8999681020733652,0.21551281816356085,0.9715816326530612,0.375,1.0,0.5454545454545454,5,0.625,,,0.462328499997966,,8.0,,1,0,,,,,
S01,S01,1231,1231,SC-L1,16,680,3,0.002869099989766255,0.00020330000552348793,303865856,0.8982142857142857,0.8982061707725425,0.21192179200760183,0.9724489795918367,1.0,1.0,1.0,0,0.0,,,14.05336609997903,,4.0,0.9,80,0,3.0,3.0,0.22216032126226729,0.020253512429534163,0.24241383369180144
S01,S01,1231,1231,SC-SHIL,16,680,3,0.004469799983780831,0.00035700001171790063,270061568,0.8982142857142857,0.8982061707725425,0.21192179200760183,0.9724489795918367,1.0,1.0,1.0,0,0.0,,,19.406673599994974,,4.0,0.9,80,0,3.0,3.0,0.22216032126226729,0.020253512429534163,0.24241383369180144
S01,S01,1249,1249,L1-full,16,680,27,0.004197100002784282,0.00046969999675638974,251895808,0.8982142857142857,0.8981879886067511,0.2276589471631608,0.9687627551020408,0.1111111111111111,1.0,0.19999999999999998,24,0.8888888888888888,,,0.5259505000140052,0.05,,,5,0,,,,,
S01,S01,1249,1249,L1-top8,16,680,8,0.004270400007953867,0.0006834999949205667,251904000,0.9035714285714286,0.9035665084953315,0.22148811367650176,0.9706377551020409,0.375,1.0,0.5454545454545454,5,0.625,,,0.5259505000140052,0.05,8.0,,5,0,,,,,
S01,S01,1249,1249,L1-match,16,680,3,0.004869600001256913,0.00036040000850334764,251904000,0.9035714285714286,0.9035517452541335,0.20532760381746087,0.974719387755102,1.0,1.0,1.0,0,0.0,,,0.5259505000140052,0.05,3.0,,5,0,,,,,
S01,S01,1249,1249,SHIL-k8,16,680,8,0.00327139999717474,0.000461499992525205,251912192,0.8982142857142857,0.8981749973682447,0.20665431940847637,0.974170918367347,0.375,1.0,0.5454545454545454,5,0.625,,,0.4164573999878485,,8.0,,1,0,,,,,
S01,S01,1249,1249,SC-L1,16,680,3,0.003990199998952448,0.00024029999622143805,306929664,0.9035714285714286,0.9035517452541335,0.20532760381746087,0.974719387755102,1.0,1.0,1.0,0,0.0,,,14.7222573000181,,4.0,0.9,80,0,3.0,3.0,0.25298332940008367,0.020715578945627262,0.2736989083457109
S01,S01,1249,1249,SC-SHIL,16,680,3,0.003161900007398799,0.000318799982778728,273129472,0.9035714285714286,0.9035517452541335,0.20532760381746087,0.974719387755102,1.0,1.0,1.0,0,0.0,,,17.063691500021378,,4.0,0.9,80,0,3.0,3.0,0.25298332940008367,0.020715578945627262,0.2736989083457109
S01,S01,1277,1277,L1-full,16,680,34,0.005898000003071502,0.0005078999965917319,254173184,0.8857142857142857,0.8857084545129854,0.28632412161467097,0.9544770408163266,0.08823529411764706,1.0,0.1621621621621622,31,0.9117647058823529,,,0.42018190000089817,0.05,,,5,0,,,,,
S01,S01,1277,1277,L1-top8,16,680,8,0.003430799988564104,0.00025880002067424357,254185472,0.9017857142857143,0.9017828955550382,0.24716717879663871,0.9619387755102042,0.375,1.0,0.5454545454545454,5,0.625,,,0.42018190000089817,0.05,8.0,,5,0,,,,,
S01,S01,1277,1277,L1-match,16,680,3,0.0033415999787393957,0.000215300009585917,254193664,0.8964285714285715,0.8964232869023929,0.24220757229210588,0.9634948979591837,1.0,1.0,1.0,0,0.0,,,0.42018190000089817,0.05,3.0,,5,0,,,,,
S01,S01,1277,1277,SHIL-k8,16,680,8,0.004636600002413616,0.0005458999949041754,254197760,0.8892857142857142,0.8892857142857142,0.24665896185776362,0.9621428571428571,0.375,1.0,0.5454545454545454,5,0.625,,,0.4054269999905955,,8.0,,1,0,,,,,
S01,S01,1277,1277,SC-L1,16,680,3,0.0039561000012326986,0.0002854999911505729,309084160,0.8964285714285715,0.8964232869023929,0.24220757229210588,0.9634948979591837,1.0,1.0,1.0,0,0.0,,,15.306698900007177,,4.0,0.9,80,0,3.0,3.0,0.2132858022775662,0.017802010174768318,0.2310878124523345
S01,S01,1277,1277,SC-SHIL,16,680,3,0.004022400011308491,0.000225800002226606,275304448,0.8964285714285715,0.8964232869023929,0.24220757229210588,0.9634948979591837,1.0,1.0,1.0,0,0.0,,,18.820776200009277,,4.0,0.9,80,0,3.0,3.0,0.2132858022775662,0.017802010174768318,0.2310878124523345
S02,S02,1103,1103,L1-full,16,680,47,0.006976100004976615,0.0009685000113677233,256376832,0.8375,0.8374994818223273,0.3406471380915472,0.9320408163265306,0.06382978723404255,1.0,0.12,44,0.9361702127659575,,,0.6015450000122655,0.05,,,5,0,,,,,
S02,S02,1103,1103,L1-top8,16,680,8,0.0034693999914452434,0.0003155000158585608,256393216,0.8535714285714285,0.853524720893142,0.30172365554591657,0.9425127551020408,0.375,1.0,0.5454545454545454,5,0.625,,,0.6015450000122655,0.05,8.0,,5,0,,,,,
S02,S02,1103,1103,L1-match,16,680,3,0.0033490000059828162,0.00025340000865980983,256401408,0.8589285714285714,0.8589065255731922,0.28296934572974514,0.9497448979591837,1.0,1.0,1.0,0,0.0,,,0.6015450000122655,0.05,3.0,,5,0,,,,,
S02,S02,1103,1103,SHIL-k8,16,680,8,0.00404190001427196,0.00033939999411813915,256401408,0.8678571428571429,0.867830169422331,0.28525696436115233,0.9503316326530612,0.375,1.0,0.5454545454545454,5,0.625,,,0.4336667000025045,,8.0,,1,0,,,,,
S02,S02,1103,1103,SC-L1,16,680,3,0.0039053999935276806,0.0002657999866642058,311382016,0.8589285714285714,0.8589065255731922,0.28296934572974514,0.9497448979591837,1.0,1.0,1.0,0,0.0,,,14.239713799994206,,4.0,0.9,80,0,3.0,3.0,0.29514588620918514,0.02060871681524002,0.31575460302442515
S02,S02,1103,1103,SC-SHIL,16,680,3,0.0035951999889221042,0.0002384000108577311,277594112,0.8589285714285714,0.8589065255731922,0.28296934572974514,0.9497448979591837,1.0,1.0,1.0,0,0.0,,,18.224620199995115,,4.0,0.9,80,0,3.0,3.0,0.29514588620918514,0.02060871681524002,0.31575460302442515
S02,S02,1129,1129,L1-full,16,680,50,0.009827800007769838,0.0011498999956529588,258482176,0.8535714285714285,0.8535546172392239,0.32711292595536495,0.9358418367346939,0.06,1.0,0.11320754716981131,47,0.94,,,0.7425716999860015,0.05,,,5,0,,,,,
S02,S02,1129,1129,L1-top8,16,680,8,0.007115199987310916,0.0009304000122938305,258494464,0.8589285714285714,0.8589245227063277,0.2973366438323504,0.9434821428571429,0.375,1.0,0.5454545454545454,5,0.625,,,0.7425716999860015,0.05,8.0,,5,0,,,,,
S02,S02,1129,1129,L1-match,16,680,3,0.006015899998601526,0.001103700022213161,258498560,0.8625,0.8624890377102766,0.28532903814767535,0.9484438775510204,1.0,1.0,1.0,0,0.0,,,0.7425716999860015,0.05,3.0,,5,0,,,,,
S02,S02,1129,1129,SHIL-k8,16,680,8,0.00935040001058951,0.0005686000222340226,258506752,0.8678571428571429,0.8678504005306393,0.28837978942333176,0.9474234693877551,0.375,1.0,0.5454545454545454,5,0.625,,,0.7272120999987237,,8.0,,1,0,,,,,
S02,S02,1129,1129,SC-L1,16,680,3,0.0072231000231113285,0.0007022999925538898,313511936,0.8625,0.8624890377102766,0.28532903814767535,0.9484438775510204,1.0,1.0,1.0,0,0.0,,,14.968216000008397,,4.0,0.9,80,0,3.0,3.0,0.33343480831402394,0.02211727834615984,0.3555520866601838
S02,S02,1129,1129,SC-SHIL,16,680,3,0.006254300009459257,0.0008144000021275133,279777280,0.8625,0.8624890377102766,0.28532903814767535,0.9484438775510204,1.0,1.0,1.0,0,0.0,,,19.323110700031975,,4.0,0.9,80,0,3.0,3.0,0.33343480831402394,0.02211727834615984,0.3555520866601838
S02,S02,1151,1151,L1-full,16,680,72,0.021703100006561726,0.004245100019033998,195981312,0.8571428571428571,0.8570772293400031,0.33333169422795206,0.9311096938775509,0.041666666666666664,1.0,0.07999999999999999,69,0.9583333333333334,,,1.2361767999827862,0.05,,,5,0,,,,,
S02,S02,1151,1151,L1-top8,16,680,8,0.010161500016693026,0.0010347000206820667,196001792,0.8464285714285714,0.8464207357518241,0.3028829928561824,0.9418239795918367,0.375,1.0,0.5454545454545454,5,0.625,,,1.2361767999827862,0.05,8.0,,5,0,,,,,
S02,S02,1151,1151,L1-match,16,680,3,0.009126099990680814,0.0006989999965298921,196009984,0.8535714285714285,0.8535546172392239,0.30341581567364734,0.941045918367347,1.0,1.0,1.0,0,0.0,,,1.2361767999827862,0.05,3.0,,5,0,,,,,
S02,S02,1151,1151,SHIL-k8,16,680,8,0.008072299999184906,0.0013632999907713383,196009984,0.8553571428571428,0.8553456110978235,0.3008482766077462,0.9428316326530612,0.375,1.0,0.5454545454545454,5,0.625,,,1.0353452999843284,,8.0,,1,0,,,,,
S02,S02,1151,1151,SC-L1,16,680,3,0.009438899985980242,0.0010914999875240028,315715584,0.8535714285714285,0.8535546172392239,0.30341581567364734,0.941045918367347,1.0,1.0,1.0,0,0.0,,,23.251527100015664,,4.0,0.9,80,0,3.0,3.0,0.3183192489960481,0.020001913033634786,0.3383211620296829
S02,S02,1151,1151,SC-SHIL,16,680,3,0.005808599991723895,0.0010033999860752374,281903104,0.8535714285714285,0.8535546172392239,0.30341581567364734,0.941045918367347,1.0,1.0,1.0,0,0.0,,,22.075407800002722,,4.0,0.9,80,0,3.0,3.0,0.3183192489960481,0.020001913033634786,0.3383211620296829
S02,S02,1171,1171,L1-full,16,680,60,0.006414099974790588,0.0010344000183977187,198533120,0.7982142857142858,0.7981827517692497,0.41130774919675883,0.901109693877551,0.05,1.0,0.09523809523809523,57,0.95,,,0.671737700002268,0.05,,,5,0,,,,,
S02,S02,1171,1171,L1-top8,16,680,8,0.005110700003569946,0.00042779999785125256,198549504,0.8178571428571428,0.8178478493800705,0.3578791698058834,0.9152933673469388,0.375,1.0,0.5454545454545454,5,0.625,,,0.671737700002268,0.05,8.0,,5,0,,,,,
S02,S02,1171,1171,L1-match,16,680,3,0.003917199996067211,0.0002739999908953905,198553600,0.8303571428571429,0.8303306320183956,0.34406020820961986,0.9212372448979592,1.0,1.0,1.0,0,0.0,,,0.671737700002268,0.05,3.0,,5,0,,,,,
S02,S02,1171,1171,SHIL-k8,16,680,8,0.0034944999788422137,0.0004642000130843371,198557696,0.8303571428571429,0.8303306320183956,0.3468478845989345,0.9191581632653061,0.375,1.0,0.5454545454545454,5,0.625,,,0.5942005999968387,,8.0,,1,0,,,,,
S02,S02,1171,1171,SC-L1,16,680,3,0.004318200022680685,0.00041220002458430827,253554688,0.8303571428571429,0.8303306320183956,0.34406020820961986,0.9212372448979592,1.0,1.0,1.0,0,0.0,,,14.590169900038745,,4.0,0.9,80,0,3.0,3.0,0.27198577883790337,0.017015096673387086,0.28900087551129044
S02,S02,1171,1171,SC-SHIL,16,680,3,0.005078599991975352,0.00047909998102113605,219791360,0.8303571428571429,0.8303306320183956,0.34406020820961986,0.9212372448979592,1.0,1.0,1.0,0,0.0,,,20.516526499995962,,4.0,0.9,80,0,3.0,3.0,0.27198577883790337,0.017015096673387086,0.28900087551129044
S02,S02,1181,1181,L1-full,16,680,59,0.010229400009848177,0.0006624000088777393,201072640,0.8125,0.8124946187868911,0.3782720867146199,0.9128826530612244,0.05084745762711865,1.0,0.0967741935483871,56,0.9491525423728814,,,0.6773662000196055,0.05,,,5,0,,,,,
S02,S02,1181,1181,L1-top8,16,680,8,0.0030956999980844557,0.00023759997566230595,201089024,0.8303571428571429,0.8303566019024295,0.32456054742821927,0.9300127551020408,0.375,1.0,0.5454545454545454,5,0.625,,,0.6773662000196055,0.05,8.0,,5,0,,,,,
S02,S02,1181,1181,L1-match,16,680,3,0.0036844999995082617,0.0003358999965712428,201101312,0.8392857142857143,0.8392775141588857,0.30686601058358626,0.9375255102040816,1.0,1.0,1.0,0,0.0,,,0.6773662000196055,0.05,3.0,,5,0,,,,,
S02,S02,1181,1181,SHIL-k8,16,680,8,0.00391140001011081,0.0003826000029221177,201113600,0.8357142857142857,0.8357142857142857,0.308135298129447,0.9365051020408163,0.375,1.0,0.5454545454545454,5,0.625,,,0.5460672999906819,,8.0,,1,0,,,,,
S02,S02,1181,1181,SC-L1,16,680,3,0.004459799994947389,0.0003111999831162393,256122880,0.8392857142857143,0.8392775141588857,0.30686601058358626,0.9375255102040816,1.0,1.0,1.0,0,0.0,,,14.809708300017519,,4.0,0.9,80,0,3.0,3.0,0.31506716813600966,0.019387153899390358,0.33445432203540004
S02,S02,1181,1181,SC-SHIL,16,680,3,0.004623700020601973,0.00033450001501478255,222330880,0.8392857142857143,0.8392775141588857,0.30686601058358626,0.9375255102040816,1.0,1.0,1.0,0,0.0,,,19.571677099971566,,4.0,0.9,80,0,3.0,3.0,0.31506716813600966,0.019387153899390358,0.33445432203540004
S02,S02,1201,1201,L1-full,16,680,57,0.006517800007713959,0.0007714999956078827,203644928,0.8303571428571429,0.8302656725084627,0.3498771132940614,0.9251913265306122,0.05263157894736842,1.0,0.1,54,0.9473684210526315,,,0.5593150000204332,0.05,,,5,0,,,,,
S02,S02,1201,1201,L1-top8,16,680,8,0.003664099989691749,0.00042460000258870423,203653120,0.8410714285714286,0.8408476205378099,0.31440996307400915,0.9351275510204082,0.375,1.0,0.5454545454545454,5,0.625,,,0.5593150000204332,0.05,8.0,,5,0,,,,,
S02,S02,1201,1201,L1-match,16,680,3,0.004887599992798641,0.00035230000503361225,203661312,0.8357142857142857,0.8355044699872286,0.30987598913586345,0.9374107142857142,1.0,1.0,1.0,0,0.0,,,0.5593150000204332,0.05,3.0,,5,0,,,,,
S02,S02,1201,1201,SHIL-k8,16,680,8,0.004023299989057705,0.0002764000091701746,203669504,0.8375,0.8373833266852813,0.31101776708557793,0.9361352040816326,0.375,1.0,0.5454545454545454,5,0.625,,,0.47294390000752173,,8.0,,1,0,,,,,
S02,S02,1201,1201,SC-L1,16,680,3,0.0038830999983474612,0.0002536000101827085,258670592,0.8357142857142857,0.8355044699872286,0.30987598913586345,0.9374107142857142,1.0,1.0,1.0,0,0.0,,,15.801113900000928,,4.0,0.9,80,0,3.0,3.0,0.28029951969549305,0.018847902228462676,0.2991474219239557
