scenario,model,runs,candidate_edges,pairwise_jaccard_mean,pairwise_jaccard_sd,pairwise_jaccard_min,pairwise_jaccard_max,nogueira_stability
S06,L1-top8,10,5456,0.33333333333333337,5.613841578793539e-17,0.3333333333333333,0.3333333333333333,0.49926578560939794
S06,SC-L1,10,5456,1.0,0.0,1.0,1.0,1.0
S06,SC-SHIL,10,5456,1.0,0.0,1.0,1.0,1.0
S06,SHIL-k8,10,5456,0.33333333333333337,5.613841578793539e-17,0.3333333333333333,0.3333333333333333,0.4992657856093978
S07,L1-full,10,680,0.11330530528332214,0.019391644858469607,0.07623318385650224,0.1542056074766355,0.02342585276999065
S07,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S07,L1-top8,10,680,0.33602693602693606,0.018069236181816488,0.3333333333333333,0.45454545454545453,0.49685846560846547
S07,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S07,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S07,SHIL-k8,10,680,0.33602693602693606,0.018069236181816488,0.3333333333333333,0.45454545454545453,0.4968584656084656
S08,L1-full,10,680,0.09031871784703903,0.045112019107359125,0.03529411764705882,0.2230971128608924,0.03398804768944963
S08,L1-match,10,680,0.8956613756613755,0.1432311922031522,0.5714285714285714,1.0,0.9297885741229595
S08,L1-top8,10,680,0.33602693602693606,0.018069236181816488,0.3333333333333333,0.45454545454545453,0.49685846560846547
S08,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S08,SC-SHIL,10,680,0.9014814814814812,0.13483164878064366,0.6666666666666666,1.0,0.9349894204842217
S08,SHIL-k8,10,680,0.4299438832772165,0.10480943669450052,0.3333333333333333,0.7777777777777778,0.5896164021164021
S09,L1-full,10,680,0.14670441899657405,0.11377833846769699,0.045845272206303724,0.33261802575107297,0.004245351797194652
S09,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S09,L1-top8,10,680,0.33872053872053876,0.025261706319999123,0.3333333333333333,0.45454545454545453,0.499669312169312
S09,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S09,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S09,SHIL-k8,10,680,0.33333333333333337,5.613841578793539e-17,0.3333333333333333,0.3333333333333333,0.49404761904761907
S10,L1-full,10,2300,0.06391869297629892,0.015507713317648643,0.04091653027823241,0.12801678908709338,0.03392431013184527
S10,L1-match,10,2300,1.0,0.0,1.0,1.0,1.0
S10,L1-top8,10,2300,1.0,0.0,1.0,1.0,1.0
S10,SC-L1,10,2300,1.0,0.0,1.0,1.0,1.0
S10,SC-SHIL,10,2300,1.0,0.0,1.0,1.0,1.0
S10,SHIL-k8,10,2300,1.0,0.0,1.0,1.0,1.0
S11,L1-full,10,1330,0.08760174818323459,0.01623172684982372,0.0625,0.13725490196078433,0.12246529680007168
S11,L1-match,10,1330,0.3406254239587572,0.07006219119252274,0.25,0.5555555555555556,0.49535051074289016
S11,L1-top8,10,1330,0.39313131313131305,0.06809881694166078,0.3333333333333333,0.6,0.5584552025550512
S11,SC-L1,10,1330,1.0,0.0,1.0,1.0,1.0
S11,SC-SHIL,10,1330,0.8380952380952382,0.1679572787805333,0.6,1.0,0.9105055092943056
S11,SHIL-k8,10,1330,0.8528395061728395,0.11363683750992351,0.6,1.0,0.9161623802319717
S12,L1-full,10,680,0.08331558330318929,0.05602172720713384,0.031746031746031744,0.27828054298642535,0.0047260869074615686
S12,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S12,L1-top8,10,680,0.33333333333333337,5.613841578793539e-17,0.3333333333333333,0.3333333333333333,0.49404761904761885
S12,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S12,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S12,SHIL-k8,10,680,0.33333333333333337,5.613841578793539e-17,0.3333333333333333,0.3333333333333333,0.49404761904761885
