scenario,model,n,support_f1_mean,support_f1_sd,false_inclusions_mean,support_size_mean,log_loss_mean,log_loss_sd,macro_f1_mean,runtime_mean,peak_rss_mean
S04,SC-L1,10,1.0,0.0,0.0,4.0,0.23914577047645133,0.03509887736209273,0.8960672952024786,4.90526991999941,154412646.4
S04,SC-SHIL,10,1.0,0.0,0.0,4.0,0.23914577047645133,0.03509887736209273,0.8960672952024786,9.99291740001063,142391296.0
S04,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.24736528638956062,0.0397922136971244,0.8910664883524004,0.2025022600049851,137593241.6
S05,L1-full,10,0.06876910779106735,0.004469073695900791,108.8,112.8,0.2648737759459446,0.008879557836350862,0.8819829282466454,1.7160550700005843,119010918.4
S05,L1-match,10,1.0,0.0,0.0,4.0,0.22377398997511927,0.009241491736359827,0.8971538996028363,1.7160550700005843,119062528.0
S05,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.2279794822580034,0.010277229662470409,0.895402742547423,1.7160550700005843,119052288.0
S05,SC-L1,10,1.0,0.0,0.0,4.0,0.22377398997511927,0.009241491736359827,0.8971538996028363,44.021796249994075,237977190.4
S05,SC-SHIL,10,1.0,0.0,0.0,4.0,0.22377398997511927,0.009241491736359827,0.8971538996028363,73.96460367000255,173187891.2
S05,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.22588266530102935,0.0090679883580521,0.896483674354501,5.311384579990408,119069900.8
S06,L1-full,10,0.04055190972025056,0.002575009358340969,190.0,194.0,0.48633184359631665,0.06475951244656145,0.8429967204275384,3.154297840001527,173781401.6
S06,L1-match,10,1.0,0.0,0.0,4.0,0.22643677038050844,0.01370513691961092,0.8941001670554114,3.154297840001527,174225817.6
S06,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.23575601204212382,0.023207719454142458,0.8878451721796253,3.154297840001527,174163148.8
S06,SC-L1,10,1.0,0.0,0.0,4.0,0.2264367703805084,0.013705136919610885,0.8941001670554114,111.2775945900008,608917913.6
S06,SC-SHIL,10,1.0,0.0,0.0,4.0,0.2264367703805084,0.013705136919610885,0.8941001670554114,121.50623560000095,347586969.6
S06,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.2284302545032859,0.014017178909275629,0.8905265632460869,3.102746190005564,174247116.8
S07,L1-full,10,0.06223794327602487,0.0046732108141040755,121.2,125.2,0.5823323430874136,0.03129646362943153,0.7332873517870653,0.5946103399968706,226260582.4
S07,L1-match,10,1.0,0.0,0.0,4.0,0.4612487678089606,0.021060286888264126,0.7720714884036095,0.5946103399968706,226314240.0
S07,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.47151402456657215,0.021696170273721456,0.7638358805474954,0.5946103399968706,226303590.4
S07,SC-L1,10,1.0,0.0,0.0,4.0,0.4612487678089606,0.021060286888264123,0.7720714884036095,15.089372829999775,282777600.0
S07,SC-SHIL,10,1.0,0.0,0.0,4.0,0.4612487678089606,0.021060286888264123,0.7720714884036095,18.33414086000994,250118963.2
S07,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.464976161344108,0.02325933758379949,0.7668710553829395,0.39717780000646596,226322841.6
S08,L1-full,10,0.19044220723062977,0.1154400799163098,83.4,87.4,0.3152393045309504,0.09486754709490204,0.8701639243114316,0.3838278499897569,236357222.4
S08,L1-match,10,0.9688888888888888,0.0688530372659096,0.3,4.3,0.23409084212263892,0.021649586385129014,0.8946275014983481,0.3838278499897569,236413337.6
S08,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.23932758028375933,0.019644866733656504,0.8885544117118707,0.3838278499897569,236405964.8
S08,SC-L1,10,1.0,0.0,0.0,4.0,0.23383389402670693,0.021622337952096306,0.8944480408793105,10.819519850017969,293756928.0
S08,SC-SHIL,10,0.9688888888888888,0.0688530372659096,0.3,4.3,0.23388176918433357,0.02162456618645358,0.8946260386230754,17.85614623001893,259935027.2
S08,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.23508446433211017,0.022151391504689057,0.892848254235316,1.0522569800144992,236417433.6
S09,L1-full,10,0.0901813369604418,0.08413700553298756,196.3,200.3,0.39835803352704574,0.1513006193313057,0.8654789898325144,0.3543441599991638,241771315.2
S09,L1-match,10,1.0,0.0,0.0,4.0,0.20132971919790962,0.01679445587401565,0.9126619550420874,0.3543441599991638,241842585.6
S09,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.2087486242511527,0.018205085799309226,0.9076541344633359,0.3543441599991638,241833574.4
S09,SC-L1,10,1.0,0.0,0.0,4.0,0.20132971919790962,0.01679445587401565,0.9126619550420874,9.883918520004954,296817049.6
S09,SC-SHIL,10,1.0,0.0,0.0,4.0,0.20132971919790962,0.01679445587401565,0.9126619550420874,12.591278820007574,263004569.6
S09,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.20207642957086303,0.018006451717744575,0.9117684930314855,0.3038714100024663,241846681.6
S10,L1-full,10,0.10573894325577324,0.04367358488039252,197.4,205.4,0.3102607921746677,0.08990288667774866,0.8898568753536293,1.603708869998809,262486425.6
S10,L1-match,10,1.0,0.0,0.0,8.0,0.17122465504041176,0.01701746409292784,0.9236155027332463,1.603708869998809,262348390.4
S10,L1-top8,10,1.0,0.0,0.0,8.0,0.17122465504041176,0.01701746409292784,0.9236155027332463,1.603708869998809,262342656.0
S10,SC-L1,10,1.0,0.0,0.0,8.0,0.17122465504041176,0.01701746409292784,0.9236155027332463,53.286403890012295,531041484.8
S10,SC-SHIL,10,1.0,0.0,0.0,8.0,0.17122465504041176,0.01701746409292784,0.9236155027332463,52.555263829987965,372148224.0
S10,SHIL-k8,10,1.0,0.0,0.0,8.0,0.17122465504041176,0.01701746409292784,0.9236155027332463,1.4556484899949282,262351667.2
S11,L1-full,10,0.13078925853661846,0.018450101869698424,54.5,58.5,0.2969321696682348,0.039943063083109964,0.8679993955140797,0.6526199200015981,295338803.2
S11,L1-match,10,0.6254545454545455,0.08921362694005049,5.0,9.0,0.24075872406471857,0.024761630736971206,0.8949755295435144,0.6526199200015981,295388364.8
S11,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.2402826352650756,0.025853683967638815,0.8928359372628172,0.6526199200015981,295378944.0
S11,SC-L1,10,1.0,0.0,0.0,4.0,0.2355557314155731,0.022730438447212942,0.8933633272422824,19.99223850002163,402060083.2
S11,SC-SHIL,10,0.5690909090909091,0.01531513387020879,5.3,9.0,0.27329062624259615,0.06092608763355903,0.8749751752194328,21.135439280001446,336666214.4
S11,SHIL-k8,10,0.55,0.08050764858994129,4.7,8.0,0.32238633397973243,0.06268106632315032,0.8585368671448823,0.5432311100012157,295401062.4
S12,L1-full,10,0.16368441203681475,0.0963216679002435,103.5,107.5,0.27492614978980245,0.10970911188556944,0.8761867689868073,0.3285185299930163,331330355.2
S12,L1-match,10,1.0,0.0,0.0,4.0,0.17727703208486295,0.016339550226925563,0.9058707097324687,0.3285185299930163,331373363.2
S12,L1-top8,10,0.6666666666666666,0.0,4.0,8.0,0.18231332037502343,0.013873123583230836,0.9034540222503502,0.3285185299930163,331365171.2
S12,SC-L1,10,1.0,0.0,0.0,4.0,0.17727703208486295,0.016339550226925563,0.9058707097324687,9.84188606000971,386376089.6
S12,SC-SHIL,10,1.0,0.0,0.0,4.0,0.17727703208486295,0.016339550226925563,0.9058707097324687,11.693627170007677,352574259.2
S12,SHIL-k8,10,0.6666666666666666,0.0,4.0,8.0,0.17943958661804332,0.016490688272868877,0.9025024102757697,0.7221545499982313,331374592.0
